Black Powder (%),Ferric oxide (%),KNO3 (%),Sorbitol (%),Mass Ferric oxide (g),Mass Black powder (g),Mass Carbon black (g),Mass Sulphur (g),Mass KNO3 (g),Mass Sorbitol (g)
1.00,1.00,80.00,20.00,10.25,10.25,1.54,1.03,827.69,267.91
1.10,1.10,79.25,20.75,11.28,11.28,1.69,1.13,820.77,277.30
1.20,1.20,78.50,21.50,12.30,12.30,1.85,1.23,813.85,286.69
1.30,1.30,77.75,22.25,13.33,13.33,2.00,1.33,806.93,296.09
1.40,1.40,77.00,23.00,14.35,14.35,2.15,1.44,800.01,305.48
1.50,1.50,76.25,23.75,15.38,15.38,2.31,1.54,793.09,314.88
1.60,1.60,75.50,24.50,16.40,16.40,2.46,1.64,786.18,324.27
1.70,1.70,74.75,25.25,17.43,17.43,2.61,1.74,779.26,333.66
1.80,1.80,74.00,26.00,18.45,18.45,2.77,1.85,772.34,343.06
1.90,1.90,73.25,26.75,19.48,19.48,2.92,1.95,765.42,352.45
2.00,2.00,72.50,27.50,20.50,20.50,3.08,2.05,758.50,361.85
2.10,2.10,71.75,28.25,21.53,21.53,3.23,2.15,751.58,371.24
2.20,2.20,71.00,29.00,22.55,22.55,3.38,2.26,744.66,380.63
2.30,2.30,70.25,29.75,23.58,23.58,3.54,2.36,737.74,390.03
2.40,2.40,69.50,30.50,24.60,24.60,3.69,2.46,730.83,399.42
2.50,2.50,68.75,31.25,25.63,25.63,3.84,2.56,723.91,408.82
2.60,2.60,68.00,32.00,26.65,26.65,4.00,2.67,716.99,418.21
2.70,2.70,67.25,32.75,27.68,27.68,4.15,2.77,710.07,427.61
2.80,2.80,66.50,33.50,28.70,28.70,4.31,2.87,703.15,437.00
2.90,2.90,65.75,34.25,29.73,29.73,4.46,2.97,696.23,446.39
3.00,3.00,65.00,35.00,30.75,30.75,4.61,3.08,689.31,455.79
,,,,,,,,,
Mass of expected ignitor (g),1025,,,,,,,,
,,,,,,,,,
Black powder ratio,75,KNO3,,,,,,,
,10,Sulphur,,,,,,,
,15,Carbon,,,,,,,